id,대분류,목적,방법,맥락,기술,결론,제목,출처,발행일,url,표,근거
"162","AI 활용","효율화","요구사항 정의, 교육","사내 업무","에이전트","AI-DLC 워크숍을 통해 AI를 개발 라이프사이클 전반의 사고 파트너로 쓰는 팀 단위 개발 방식을 확인했다","AI와 협업하는 새로운 개발 프로세스, 올리브영은 어떻게 시작했을까 (feat. AI-DLC)","올리브영","2026-04-16","https://oliveyoung.tech/2026-04-16/oliveyoung-tech-ai-dlc-workshop/","AI 활용 3","이번 워크숍에서 가장 크게 확인한 것은 AI의 역할에 대한 재정의였습니다."
"163","AI 활용","효율화","QA, 업무 자동화","사내 업무","LLM","AI에게 TC 작성을 한 번에 맡기지 말고 규칙 학습·목차화·분할 도출로 나누니 일정이 약 40% 단축됐다","Gemini 기반 테스트 케이스 자동화 실패와 성공기","무신사","2026-04-15","https://techblog.musinsa.com/gemini-%EA%B8%B0%EB%B0%98-%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%BC%80%EC%9D%B4%EC%8A%A4-%EC%9E%90%EB%8F%99%ED%99%94-%EC%8B%A4%ED%8C%A8%EC%99%80-%EC%84%B1%EA%B3%B5%EA%B8%B0-5d558317f2a5","AI 활용 3","우리는 수많은 시행착오 끝에 AI에게 한 번에 모든 걸 맡기려는 것이 실패의 원인임을 깨달았습니다."
"164","사업·브랜드","성장","사업 전략","커머스, 추천","","AI가 대체하기 어려운 취향·물리적 맥락·실행 인프라라는 세 자산이 오늘의집의 경쟁력이다","AI 시대, 가장 흥미로운 문제는 스크린 밖에 있다","오늘의집","2026-04-10","https://www.bucketplace.com/post/2026-04-10-ai-%EC%8B%9C%EB%8C%80-%EA%B0%80%EC%9E%A5-%ED%9D%A5%EB%AF%B8%EB%A1%9C%EC%9A%B4-%EB%AC%B8%EC%A0%9C%EB%8A%94-%EC%8A%A4%ED%81%AC%EB%A6%B0-%EB%B0%96%EC%97%90%EC%9E%88%EB%8B%A4/","사업·브랜드 3","오늘의집은 10년이 넘는 시간 동안 공간이라는 한 가지 영역에 이 세 자산을 동시에 쌓아왔습니다."
"167","데이터·실험","품질","지표 설계, 문서화","사내 업무","","로그 규칙을 다시 세우고 Log Center로 통합해 데이터 신뢰와 직군 간 협업 기반을 회복했다","기록에 머물던 로그는 어떻게 ‘자산’이 되었을까","오늘의집","2026-04-09","https://www.bucketplace.com/post/2026-04-09-%EA%B8%B0%EB%A1%9D%EC%97%90-%EB%A8%B8%EB%AC%BC%EB%8D%98-%EB%A1%9C%EA%B7%B8%EB%8A%94-%EC%96%B4%EB%96%BB%EA%B2%8C-%E2%80%98%EC%9E%90%EC%82%B0%E2%80%99%EC%9D%B4-%EB%90%98%EC%97%88%EC%9D%84%EA%B9%8C/","데이터·실험 3","데이터의 신뢰를 회복하기 위해 저희가 가장 먼저 한 일은 도구를 바꾸는 것이 아니라 ‘언어의 규칙’을 다시 세우는 일이었습니다."
"168","제품·서비스 기획","사용성","화면·흐름 설계, 사용자 인터뷰","오프라인 매장, 결제","","오프라인 결제 대기 문제를 풀기 위해 없던 Self-POS를 조건을 좁혀 도입하고 로드맵까지 설계했다","Self-POS(무인 계산대) : 무신사다운 오프라인 고객경험을 설계하다.","무신사","2026-04-08","https://techblog.musinsa.com/self-pos-%EB%AC%B4%EC%9D%B8-%EA%B3%84%EC%82%B0%EB%8C%80-%EB%AC%B4%EC%8B%A0%EC%82%AC%EB%8B%A4%EC%9A%B4-%EC%98%A4%ED%94%84%EB%9D%BC%EC%9D%B8-%EA%B3%A0%EA%B0%9D%EA%B2%BD%ED%97%98%EC%9D%84-%EC%84%A4%EA%B3%84%ED%95%98%EB%8B%A4-586169f788c7","제품·서비스 기획 3","무신사 오프라인 매장의 결제 대기 시간을 줄이고 고객 경험을 혁신하기 위한 Self-POS(무인 계산대) 도입기"
"169","AI 활용","사용성","MVP, 운영 개선","글로벌, 신규 출시","LLM","5년간 멈췄던 배민 다국어 과제를 LLM 번역 파이프라인으로 한 달 만에 구현했다","5년 동안 못 푼 배민 다국어 숙제, AI와 함께 한 달 만에 끝내기","배달의민족","2026-04-03","https://techblog.woowahan.com/26162/","AI 활용 3","이 글에서는 5년 동안 해결되지 않았던 배민 다국어 과제가 어떤 배경과 제약 속에서 반복적으로 중단되었는지, 그리고 AI를 활용해 어떻게 한 달 만에 구현까지 이어질 수 있었는지를 ‘AI 기반 구축TF’의 TPM과 푸드 담당 서버 개발자 관점에서 다룹니다."
"170","AI 활용","효율화","업무 자동화, 바이브코딩","사내 업무","에이전트","AI 생산성 차이는 사용량이 아니라 탐색·플래닝·검증으로 AI가 일하는 방식을 설계하는 데서 온다","AI 토큰 사용량 전사 1위 개발자가 148,000번의 대화에서 배운 것","컬리","2026-04-02","https://helloworld.kurly.com/blog/ai-orchestration-1/","AI 활용 3","하지만 저는 AI를 많이 쓰는 것보다 잘 쓰는 것이 중요하다고 생각해요."
"172","AI 활용","성장","화면·흐름 설계, 운영 개선","검색, 글로벌","LLM","AI를 과외선생님이자 콘텐츠 생성 시스템으로 역할 정의해 낯선 pSEO 프로젝트를 빠르게 완수했다","낯선 프로젝트를 푸는 새로운 파트너, AI 과외선생님","오늘의집","2026-03-31","https://www.bucketplace.com/post/2026-03-31-%EB%82%AF%EC%84%A0-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%EB%A5%BC-%ED%91%B8%EB%8A%94-%EC%83%88%EB%A1%9C%EC%9A%B4-%ED%8C%8C%ED%8A%B8%EB%84%88-ai-%EA%B3%BC%EC%99%B8%EC%84%A0%EC%83%9D%EB%8B%98/","AI 활용 3","달라진 것은 AI 자체가 아니라, 제가 AI에게 던지는 질문과 역할 정의였습니다."
"173","협업·프로세스","효율화","회고, 화면·흐름 설계","사내 업무","","AI로 혼자 많이 할 수 있게 된 시대에는 무엇을 혼자 풀고 무엇을 함께 풀지 구분하는 것이 협업 역량이다","혼자 더 많이 할 수 있게 된 뒤, 협업이 가지는 가치를 돌아보며","강남언니","2026-03-30","https://blog.gangnamunni.com/post/ai-discovery-collaboration","협업·프로세스 3","무엇을 혼자 풀고 무엇을 반드시 함께 풀어야 하는지 구분하는 감각, 그게 AI 시대에 더 중요한 협업의 역량이 될 거라고 생각해요."
"176","AI 활용","신뢰","AI 평가, A/B 테스트","추천, 리뷰","LLM","LLM으로 리뷰 진정성을 점수화해 별점 인플레이션 속에서 믿을 수 있는 맛집 추천을 만들었다","별점 뒤에 숨겨진 리뷰의 온도, LLM으로 한 끗 차이가 다른 추천 만들기","배달의민족","2026-03-20","https://techblog.woowahan.com/25888/","AI 활용 1, 제품·서비스 기획 1, 사용자 이해·경험 1","덕분에 사용자들은 리뷰 목록을 일일이 대조하지 않고도, AI가 읽어낸 진정성 있는 점수를 통해 더 빠르게 믿고 선택할 수 있게 되었습니다."
"180","AI 활용","효율화","교육, 업무 자동화","사내 업무","","비개발 직군이 자기 업무 문제를 AI로 직접 해결하게 한 5주 교육으로 업무 시간이 크게 줄었다","AI로 바뀐 건 업무가 아니라 사람이었습니다","배달의민족","2026-03-13","https://techblog.woowahan.com/26034/","AI 활용 3","개발 지식 없는 비개발 직군 동료들이 매주 수요일 저녁 오프라인으로 모여 5주 동안 자신의 현업 문제를 AI로 직접 해결해 보는 프로그램입니다."
"184","사업·브랜드","신뢰","캠페인, 리브랜딩","콘텐츠","","강남언니 브랜드가 '자존감'을 메시지로 삼아 고객의 선택을 돕는 가이드로 인식을 바꾸려 한다","강남언니 브랜드마케팅, '자존감' 이야기를 시작하게 된 이유","강남언니","2026-03-11","https://blog.gangnamunni.com/post/brandmarketing-self-esteem","사업·브랜드 3","두 가지 프로젝트를 맡으면서, 앞으로 강남언니 브랜드가 나아가야 할 방향이 분명해지는 느낌을 받았습니다."
"188","AI 활용","효율화","요구사항 정의, MVP","사내 업무, 검색","RAG, LLM","흩어진 교육 운영 정보를 자연어로 묻고 답받게 하려고 RAG 서버를 직접 구축했고, 그 과정에서 필요성 평가부터 평가 파이프라인까지 6단계 판단 기준을 정리했다.","RAG, 들어는 봤는데… 내 서비스엔 어떻게 쓰지?","배달의민족","2026-03-10","https://techblog.woowahan.com/25900/","AI 활용 3","그래서 ‘교육 운영 정보를 자연어로 검색할 수 있는 시스템을 구축하자’는 목표를 세웠습니다."
"190","AI 활용","품질","바이브코딩, 리스크 관리","사내 업무","","순수 바이브코딩은 검증 비용과 보안 위험이 커서, 설계는 사람이 하고 반복 구현만 AI에 맡기는 방식으로 바꿨다","8년차 AI 엔지니어는 왜 바이브코딩을 포기했나?","NDS Cloud","2026-03-09","https://tech.cloud.nongshim.co.kr/blog/aws/ai/3854/","AI 활용 3","제가 포기한 건 “AI한테 다 맡기는 순수한 바이브코딩”이지, AI 코딩 도구 활용 자체가 아닙니다."
"191","제품·서비스 기획","효율화","운영 개선, 정책 설계","물류·배송, 커머스","","멀티 센터 체제에 맞춰 최적 출고처를 실시간 결정하는 배송최적화 시스템을 새로 구축해 배송 시간을 단축했다","배송최적화 시스템 구축기 Part 01. 올리브영이 멀티 센터 체제로 배송 시간을 14시간 단축한 과정","올리브영","2026-03-06","https://oliveyoung.tech/2026-03-06/delivery-optimization/","제품·서비스 기획 3","결국 물류 현장의 비효율을 걷어내고 거점 확장의 효과를 극대화하기 위해서는 전체 주문 흐름을 실시간으로 제어할 새로운 시스템이 필요했습니다."
"192","사용자 이해·경험","전환","화면·흐름 설계, 가설 검증","오프라인 매장, 커머스","","기존 올영매장의 탐색 구조를 고도화해 고객이 매장을 찾고 행동하게 만드는 흐름을 설계했다","매장을 찾는 과정을 설계한 올영매장 고도화 여정","올리브영","2026-02-27","https://oliveyoung.tech/2026-02-27/2026-02-27-oliveyoung-store-journey-renewal-ux/","사용자 이해·경험 3","고객이 원하는 것은 눈에 보이는 기능이 아니라, 자신의 문제를 해결해 주는 경험이라는 것입니다."
"194","AI 활용","효율화","업무 자동화, 운영 개선","사내 업무, 글로벌","LLM","피그마 플러그인·n8n·LLM으로 로컬라이즈 키 생성 업무를 자동화해 디자이너 리소스를 8배 절감했다","리소스 8배 절감, AI로 해결한 로컬라이즈 대공사","오늘의집","2026-02-24","https://www.bucketplace.com/post/2026-02-24-%EB%A6%AC%EC%86%8C%EC%8A%A4-8%EB%B0%B0-%EC%A0%88%EA%B0%90-ai%EB%A1%9C-%ED%95%B4%EA%B2%B0%ED%95%9C-%EB%A1%9C%EC%BB%AC%EB%9D%BC%EC%9D%B4%EC%A6%88-%EB%8C%80%EA%B3%B5%EC%82%AC/","AI 활용 3","전사 협업 시스템에 성공적으로 안착하며, 디자이너의 관련 리소스를 무려 8배나 절감할 수 있었거든요."
"196","사용자 이해·경험","신뢰","캠페인, 가설 검증","커뮤니티, 로컬","","바이럴로 들어온 사용자를 머물게 하려면 신뢰 정보를 UI에 가시화해 낯선 사람과의 모임 불안을 해소해야 한다","경도에서 감튀까지, 모르는 사람과 노는 일이 어떻게 가능하냐면요","당근","2026-02-13","https://careers.daangn.com/blog/post/당근-커뮤니티실-모임-커리어-채용-팀문화/","사용자 이해·경험 3","바이럴은 사람을 데려오지만 신뢰는 사람을 머물게 해요."
"201","데이터·실험","품질","지표 설계, 실험 플랫폼","사내 업무","","메트릭 정의·파이프라인·통계 검정을 표준화해 실험 결과의 일관성과 신뢰도를 되찾았다","신뢰할 수 있는 메트릭과 실험 플랫폼","오늘의집","2026-02-06","https://www.bucketplace.com/post/2026-02-06-%EC%8B%A0%EB%A2%B0%ED%95%A0-%EC%88%98-%EC%9E%88%EB%8A%94-%EB%A9%94%ED%8A%B8%EB%A6%AD%EA%B3%BC-%EC%8B%A4%ED%97%98-%ED%94%8C%EB%9E%AB%ED%8F%BC/","데이터·실험 3","이런 문제점들이 누적되면서 분석 결과의 일관성이 떨어지고, 실험 플랫폼 자체의 신뢰도에도 영향을 미치기 시작했습니다."
"204","사업·브랜드","성장","사업 전략, 로드맵","커머스","","AI가 가장 늦게 닿는 오프라인 실행과 취향 이해에서 해자를 깊게 파는 것이 오늘의집 2026 전략이다","공간의 변화, 즐거운 고민만 할 수 있도록","오늘의집","2026-02-04","https://www.bucketplace.com/post/2026-02-04-%EA%B3%B5%EA%B0%84%EC%9D%98-%EB%B3%80%ED%99%94-%EC%A6%90%EA%B1%B0%EC%9A%B4-%EA%B3%A0%EB%AF%BC%EB%A7%8C-%ED%95%A0-%EC%88%98-%EC%9E%88%EB%8F%84%EB%A1%9D/","사업·브랜드 3","오프라인 경험의 퀄리티를 압도적으로 높이고, 데이터 기반의 초개인화 경험을 제공하여 우리만의 해자를 더 깊게 파야 합니다."
"205","품질·위험 관리","품질","장애 대응, 지표 설계","","","장애 영향은 First Action에서 갈리므로 라이프사이클과 메트릭으로 초동 조치를 관리해야 한다","장애 대응의 성패를 가르는 First Action: 우아한형제들의 장애 관리 라이프사이클","배달의민족","2026-02-03","https://techblog.woowahan.com/25189/","품질·위험 관리 3","평균적으로 보면 First Action이 핫픽스였던 장애는 롤백으로 시작한 경우보다 거의 두 배 가까이 더 오래 지속되는 경향을 보였습니다."
"210","사업·브랜드","신뢰","운영 개선, 후보:브랜드 굿즈","온보딩, 사내 업무","","뱅크샐러드의 일하는 태도를 첫인상으로 전하는 실용적인 첫 웰컴키트를 만들었다","뱅크샐러드의 첫 웰컴키트 제작기","뱅크샐러드","2026-01-23","https://blog.banksalad.com/pnc/banksalad-welcome-kit/","사업·브랜드 2, 제외 1","웰컴키트는 단순한 환영 선물을 넘어, 뱅크샐러드가 일을 대하는 태도를 보여주는 첫인상이라고 생각했어요."
"217","AI 활용","성장","AI 평가, 지표 설계","채용, 커머스","LLM, 임베딩","중고거래실은 AI 기능과 글로벌 확장으로 중고거래 경험을 다시 정의하고 있다","14년 차 리드와 신입 엔지니어가 함께 무한한 가능성을 꿈꿀 때","당근","2026-01-15","https://careers.daangn.com/blog/post/당근-중고거래실-엔지니어-커리어/","AI 활용 3","판매자가 여러 물건의 판매 글을 한 번에 올릴 때 느끼는 막막함을 줄이기 위해, AI 기반 ‘여러 물건 글쓰기’ 기능을 출시했어요."
"218","AI 활용","품질","문제 정의, 교육","","LLM","생성형 AI 시대 서비스 개발의 중심은 코딩에서 문제 정의·검증·책임으로 옮겨가고 있다","스탠퍼드 대학교는 왜 ‘코딩 말고 다른 것’을 가르치기 시작했을까?","NDS Cloud","2026-01-14","https://tech.cloud.nongshim.co.kr/blog/etc/3620/","AI 활용 3","생성형 AI를 활용해 ‘코드를 짜는 법’보다 ‘어떻게 만들지’를 먼저 가르치는 강의입니다."
"221","사업·브랜드","수익화","사업 전략, 캠페인","광고, B2B","","비즈니스 어워즈 사례를 실전형 콘텐츠로 만들어 에이전시가 당근 광고를 기본 선택지로 제안하게 만들었다","당근 광고는 어떻게 제안서 속 기본값으로 자리 잡았을까?","당근","2026-01-14","https://careers.daangn.com/blog/post/당근-에이전시-세일즈-매니저-커리어/","사업·브랜드 3","제가 생각하는 에이전시 세일즈 매니저란 ‘당근 광고가 에이전시, 그리고 광고주에게 당연히 선택되는 구조를 설계하는 사람’이에요."
"228","AI 활용","효율화","업무 자동화, 교육","사내 업무, 고객센터","LLM, RAG","오늘의집은 전 직무에서 AI를 팀원으로 삼아 지표 분석·VOC 리포트·정책봇 등 일하는 방식을 바꾸고 있다","오늘의집, AI로 일하는 방식을 다시 쓰다","오늘의집","2026-01-05","https://www.bucketplace.com/post/2026-01-05-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-ai%EB%A1%9C-%EC%9D%BC%ED%95%98%EB%8A%94-%EB%B0%A9%EC%8B%9D%EC%9D%84-%EB%8B%A4%EC%8B%9C-%EC%93%B0%EB%8B%A4/","AI 활용 3","오늘의집은 테크 직군뿐만 아니라 비즈니스, 운영 지원팀까지 직무의 경계 없이 AI를 업무의 핵심 파트너로 활용하고 있습니다."
"229","협업·프로세스","리텐션","조직 설계, 운영 개선","온보딩, 사내 업무","","시간 제약이 생긴 워킹맘 PO가 맥락 공유와 예측 가능성으로 팀이 스스로 결정하게 하는 협업 방식을 만들었다","육아휴직 후 복귀한 PO의 워킹맘 적응기","강남언니","2026-01-04","https://blog.gangnamunni.com/post/return-from-parental-leave","협업·프로세스 3","그래서 팀이 PO처럼 의사결정할 수 있도록 평소에 맥락과 의도를 충분히 공유해두는 것을 꾸준히 해놓았어요."
"235","제품·서비스 기획","전환","화면·흐름 설계, 문서화","결제, 신규 출시","","카카오톡 교환권을 배민에서 쓰는 외부 교환권 연동 서비스를 다자간 협업으로 새로 출시했다","끊김 없는 사용 경험을 위하여 : 카카오톡 선물함 속 교환권을 배달의민족 주문으로 연결한 여정","배달의민족","2025-12-26","https://techblog.woowahan.com/25049/","제품·서비스 기획 3","이번에 소개할 프로젝트는 카카오톡에서 선물 받은 브랜드 교환권을 배민 앱에 직접 등록해 결제에 사용할 수 있도록 구현한 ‘외부 교환권 연동 서비스’입니다."
"239","AI 활용","효율화","업무 자동화, 바이브코딩","사내 업무, 물류·배송","에이전트, LLM","역할 기반 AI Context를 설계해 4명 팀이 Claude로 16명 조직처럼 일하게 되었다","OMS에서 Claude AI를 활용하여 변화된 업무 방식","컬리","2025-12-23","https://helloworld.kurly.com/blog/oms-claude-ai-workflow/","AI 활용 3","이번 글에서는 Claude AI를 도입하여 OMS팀이 어떻게 협업하며 업무 방식을 변화시켰는지 소개하려고 합니다."
"244","AI 활용","성장","캠페인, 로드맵","금융","에이전트","뱅크샐러드는 답을 알려주는 수준을 넘어 금융 문제를 대신 실행해주는 AI 에이전트를 미래 제품 방향으로 삼고, 이를 핀테크 위크에서 시나리오로 선보였다.","뱅크샐러드가 선보인 AI 에이전트 비전은? 2025 핀테크 위크로 돌아보기!","뱅크샐러드","2025-12-20","https://blog.banksalad.com/pnc/fintechweek-2025/","AI 활용 3","미션을 해결하는 방법 중 하나로 뱅크샐러드는 AI 에이전트를 미래 제품 방향성으로 가져가고 있습니다."
"248","제외","","","","","올리브영 QA팀이 QA 컨퍼런스에 후원사로 참여해 부스와 발표를 준비하며 팀워크가 품질을 만든다는 것을 확인했다.","QA Built on Trust - 팀워크가 품질을 만든다","올리브영","2025-12-17","https://oliveyoung.tech/2025-12-17/QA-Conference-2025/","제외 3","그 중 가장 뜨거운 에너지와 팀워크를 발휘했던 순간은 바로 7월 5일에 참여했던 2025 QA Korea Conference 였습니다."
"259","데이터·실험","수익화","A/B 테스트, 실험 플랫폼","광고, 추천","","광고 내재화 성과의 병목은 모델이 아니라 실험 속도였고, 실험을 빠르게 반복하는 환경으로 CTR·CVR을 끌어올렸다","오늘의집 검색/디스플레이 광고 내재화 프로젝트 #1","오늘의집","2025-12-12","https://www.bucketplace.com/post/2025-12-12-%EA%B2%80%EC%83%89/%EB%94%94%EC%8A%A4%ED%94%8C%EB%A0%88%EC%9D%B4-%EA%B4%91%EA%B3%A0-%EB%82%B4%EC%9E%AC%ED%99%94-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/","데이터·실험 3","하지만 이번 프로젝트의 성공 방안을 고민하면서, 당시의 진짜 병목은 모델이 아니라 실험의 속도에 있다는 것을 깨달았습니다."
"263","협업·프로세스","효율화","조직 설계, 문서화","사내 업무, 커머스","","20명 FE팀이 경계 없는 파트·불판·기록 체계로 조직 구조와 소통 방식을 리팩토링했다","우리는 코드처럼 문화도 리팩토링한다","배달의민족","2025-12-10","https://techblog.woowahan.com/24820/","협업·프로세스 3","팀을 이끄는 것은 사람이 아니라 함께 만들어가는 문화라는 것에 공감한 우리는, 이 문화를 코드처럼 지속적으로 리팩토링해나갈 “문화 리딩 그룹”을 꾸리게 됩니다."
"268","사용자 이해·경험","효율화","사용자 인터뷰, 조직 설계","사내 업무","","이해관계자와 긴밀한 협업 구조 덕분에 리서치가 제품에 반영되고 고객 문제 이해가 조직에 퍼진다","리서치의 마지막 퍼즐, 함께 일하는 사람들","오늘의집","2025-12-09","https://www.bucketplace.com/post/2025-12-09-%EB%A6%AC%EC%84%9C%EC%B9%98%EC%9D%98-%EB%A7%88%EC%A7%80%EB%A7%89-%ED%8D%BC%EC%A6%90-%ED%95%A8%EA%BB%98-%EC%9D%BC%ED%95%98%EB%8A%94-%EC%82%AC%EB%9E%8C%EB%93%A4/","사용자 이해·경험 2, 협업·프로세스 1","내부 누구나 직접 고객에게 질문할 수 있다는 점도 커요. 덕분에 고객 문제에 대한 공감대가 조직 전체에 자연스럽게 퍼져 있고, 모두가 문제를 잘 이해하고 있어 리서처가 굳이 목소리를 높여 설득할 일도 없어요."
"269","AI 활용","품질","교육, 장애 대응","사내 업무","","영상팀 없는 QA팀이 AI 툴을 조합해 인시던트 교육 영상을 직접 만들었다","QA 엔지니어가 AI로 만든 교육 영상, 25분짜리 인시던트 가이드 탄생기","올리브영","2025-12-08","https://oliveyoung.tech/2025-12-08/creating-video-with-ai/","AI 활용 3","바로 이 지점에서, AI가 게임 체인저가 될 수 있다고 판단했습니다."
"271","사용자 이해·경험","접근성","화면·흐름 설계, 사용성 테스트","모바일, 커머스","","스크린 리더로 직접 써보고 상품 상세 페이지 접근성을 고쳐 구매까지의 스와이프를 90% 이상 줄였다","잃어버린 접근성을 찾아서","배달의민족","2025-12-05","https://techblog.woowahan.com/24605/","사용자 이해·경험 3","구매하기 버튼 도달까지 필요한 스와이프가 20회 미만으로 줄어들었습니다."
"274","AI 활용","효율화","바이브코딩, 애자일","사내 업무","LLM","기획서 대신 AI 프로토타이핑과 코드 99% 위임으로 2주 만에 경진대회 시스템을 만들며 일하는 방식을 바꿨다","AI TOP 100이 우리에게 남긴 것들","카카오","2025-12-04","https://tech.kakao.com/posts/799","AI 활용 3","우리는 기획서 대신 AI 프로토타이핑을 택했고, 전통적인 개발론 대신 PoC(Proof of Concept) 중심의 애자일을 택했습니다."
"275","사업·브랜드","신뢰","리브랜딩, 사용자 인터뷰","커머스","","리브랜딩은 브랜드 본질과 외부 인식의 간극을 좁히고 진정성을 중심으로 고객 관계를 확장하는 작업이었다","오늘의집 리브랜딩 비하인드 스토리 ③ - 인터뷰","오늘의집","2025-12-04","https://www.bucketplace.com/post/2025-12-04-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-%EB%A6%AC%EB%B8%8C%EB%9E%9C%EB%94%A9-%EB%B9%84%ED%95%98%EC%9D%B8%EB%93%9C-%EC%8A%A4%ED%86%A0%EB%A6%AC-%E2%91%A2-%EC%9D%B8%ED%84%B0%EB%B7%B0/","사업·브랜드 3","본질과 인식 사이의 간극을 좁혀야 했어요."
"276","협업·프로세스","효율화","문서화, 업무 자동화","사내 업무","LLM","표준화된 테크 스펙 문서와 AI 초안 자동화로 팀의 일하는 방식과 협업 효율을 바꿨다","개발자의 시간을 벌어주는 두 가지 도구: 잘 쓴 테크 스펙, 그리고 AI","컬리","2025-12-03","https://helloworld.kurly.com/blog/tech-spec-adoption-with-ai-automation/","협업·프로세스 3","지금까지 컬리 프로덕트 웹개발 팀이 테크 스펙을 통해 어떻게 일하는 방식을 변화시켰는지 소개해 드렸습니다."
"277","사용자 이해·경험","사용성","화면·흐름 설계","채용, 모바일","","신입 모바일 엔지니어들이 작은 불편까지 찾아 고치며 당연한 사용자 경험을 만든다","신입 모바일 엔지니어로 ‘당연한’ 사용자 경험을 만들어간다는 건","당근","2025-12-03","https://careers.daangn.com/blog/post/당근-모바일-엔지니어-채용/","사용자 이해·경험 3","제게는 한 사람만을 위한 개선이 아니라, 보이지 않는 많은 사용자가 겪었을 불편을 줄이는 일에 가까웠거든요."
"279","제품·서비스 기획","사용성","MVP, A/B 테스트","검색, 커머스","벡터 검색, 임베딩","유저 요청이 많던 이미지 기반 상품 검색 오집렌즈를 새로 출시했다","오늘의집 렌즈 - 텍스트를 넘어 이미지로 확장되는 검색 경험","오늘의집","2025-12-02","https://www.bucketplace.com/post/2025-12-02-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-%EB%A0%8C%EC%A6%88-%ED%85%8D%EC%8A%A4%ED%8A%B8%EB%A5%BC-%EB%84%98%EC%96%B4-%EC%9D%B4%EB%AF%B8%EC%A7%80%EB%A1%9C-%ED%99%95%EC%9E%A5%EB%90%98%EB%8A%94-%EA%B2%80%EC%83%89-%EA%B2%BD%ED%97%98/","제품·서비스 기획 2, AI 활용 1","오집렌즈는 텍스트 기반 검색을 넘어, 이미지를 활용한 새로운 검색 흐름을 제공했다는 점에서 큰 의미가 있습니다."
"288","AI 활용","효율화","업무 자동화, AI 평가","사내 업무, 검색","RAG, LLM","흩어진 사내 지식을 RAG로 연결한 전사 지식 탐색 시스템 ORI로 반복 문의를 줄였다","오늘의집 전사 지식 탐색 시스템 ‘ORI(오리)’ 개발기","오늘의집","2025-11-25","https://www.bucketplace.com/post/2025-11-25-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-%EC%A0%84%EC%82%AC-%EC%A7%80%EC%8B%9D-%ED%83%90%EC%83%89-%EC%8B%9C%EC%8A%A4%ED%85%9C-%E2%80%98ori-%EC%98%A4%EB%A6%AC-%E2%80%99-%EA%B0%9C%EB%B0%9C%EA%B8%B0/","AI 활용 3","ORI의 목표는 ‘사람에게 물어보지 않아도 회사 내부에 이미 존재하는 맥락과 근거를 스스로 찾아 연결해 주는 전사 지식 탐색 시스템’을 만드는 것이었습니다."
"289","제외","","","","","AI 벤치마크 문제 출제 후기라는 제목과 도입부 몇 줄, 필자 링크만 있고 본문이 없다.","[AI_TOP_100] 문제 출제 후기 – 기술이 아닌, 사람을 묻다.","카카오","2025-11-24","https://tech.kakao.com/posts/797","제외 3","들어가며 매일 아침 새로운 AI 모델이 발표되고, 그 성능을 증명하는 수많은 벤치마크가 쏟아집니다."
"291","협업·프로세스","효율화","교육, 지표 설계","사내 업무","","PO/PM 교육을 제품처럼 피드백과 반복 실험으로 리디자인했다","POPM 과정은 어떻게 하나의 ‘제품’이 되었나","카카오","2025-11-20","https://tech.kakao.com/posts/795","협업·프로세스 3","POPM 교육은 단순한 강의를 넘어서, 매 기수의 피드백을 기반으로 리디자인되고 매 주차의 실습과 리뷰를 통해 개선된 산출물입니다."
"292","사업·브랜드","신뢰","리브랜딩, 사용성 테스트","","","내부 합의와 거리 인터뷰·설문 검증을 거쳐 진정성 퍼스널리티와 최종 로고를 완성했다","오늘의집 리브랜딩 비하인드 스토리 ②","오늘의집","2025-11-20","https://www.bucketplace.com/post/2025-11-20-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-%EB%A6%AC%EB%B8%8C%EB%9E%9C%EB%94%A9-%EB%B9%84%ED%95%98%EC%9D%B8%EB%93%9C-%EC%8A%A4%ED%86%A0%EB%A6%AC-%E2%91%A1/","사업·브랜드 3","그리고 마침내, 이렇게 선명해진 퍼스널리티 위에서 최종 로고가 탄생했습니다."
"293","사업·브랜드","신뢰","리브랜딩, 사용자 인터뷰","","","리브랜딩의 첫 단계로 페르소나와 브랜드 무드를 정의해 흩어진 브랜드 이미지를 하나의 방향으로 모았다","오늘의집 리브랜딩 비하인드 스토리 ①","오늘의집","2025-11-20","https://www.bucketplace.com/post/2025-11-20-%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91-%EB%A6%AC%EB%B8%8C%EB%9E%9C%EB%94%A9-%EB%B9%84%ED%95%98%EC%9D%B8%EB%93%9C-%EC%8A%A4%ED%86%A0%EB%A6%AC-%E2%91%A0/","사업·브랜드 3","브랜드 무드부터 핵심 가치까지 제각각이던 우리의 이미지를 하나의 선명한 방향으로 모으는 것."
